epoch,mse_nn1,mae_nn1
1,4735615355.196975,53242.49165843456
2,2.5956311972703472e+17,509473373.0285253
3,1.2829109079043853e+26,11326565710330.67
4,6.34185153676677e+34,2.5183033051574163e+17
5,3.1347042881435613e+43,5.598842994890603e+21
6,1.5495876712975457e+52,1.2448243535927248e+26
7,7.659433668431476e+60,2.7675681867718255e+30
8,3.786310570548217e+69,6.153300391292646e+34
9,1.871529775330591e+78,1.3680386600277764e+39
10,9.251588665923693e+86,3.04164242900504e+43
11,4.572953891314521e+95,6.762361933019046e+47
12,2.2605618648665396e+104,1.5035164996988014e+52
13,1.1173697350569892e+113,3.342708086353026e+56
14,5.523526963214494e+121,7.432043435835452e+60
15,2.730215861549157e+130,1.6523364855710105e+65
16,1.3496357072794964e+139,3.6737388411256116e+69
17,6.671094103227655e+147,8.167676599393278e+73
18,3.297741740917031e+156,1.8159685407288924e+78
19,4735728500.236011,53243.523980642785
20,4735728500.236011,53243.523980642785
21,4735728500.236011,53243.523980642785
22,4735728500.236011,53243.523980642785
23,4735728500.236011,53243.523980642785
24,4735728500.236011,53243.523980642785
25,4735728500.236011,53243.523980642785
26,4735728500.236011,53243.523980642785
27,4735728500.236011,53243.523980642785
28,4735728500.236011,53243.523980642785
29,4735728500.236011,53243.523980642785
30,4735728500.236011,53243.523980642785
31,4735728500.236011,53243.523980642785
32,4735728500.236011,53243.523980642785
33,4735728500.236011,53243.523980642785
34,4735728500.236011,53243.523980642785
35,4735728500.236011,53243.523980642785
36,4735728500.236011,53243.523980642785
37,4735728500.236011,53243.523980642785
38,4735728500.236011,53243.523980642785
39,4735728500.236011,53243.523980642785
40,4735728500.236011,53243.523980642785
41,4735728500.236011,53243.523980642785
42,4735728500.236011,53243.523980642785
43,4735728500.236011,53243.523980642785
44,4735728500.236011,53243.523980642785
45,4735728500.236011,53243.523980642785
46,4735728500.236011,53243.523980642785
47,4735728500.236011,53243.523980642785
48,4735728500.236011,53243.523980642785
49,4735728500.236011,53243.523980642785
50,4735728500.236011,53243.523980642785
51,4735728500.236011,53243.523980642785
52,4735728500.236011,53243.523980642785
53,4735728500.236011,53243.523980642785
54,4735728500.236011,53243.523980642785
55,4735728500.236011,53243.523980642785
56,4735728500.236011,53243.523980642785
57,4735728500.236011,53243.523980642785
58,4735728500.236011,53243.523980642785
59,4735728500.236011,53243.523980642785
60,4735728500.236011,53243.523980642785
61,4735728500.236011,53243.523980642785
62,4735728500.236011,53243.523980642785
63,4735728500.236011,53243.523980642785
64,4735728500.236011,53243.523980642785
65,4735728500.236011,53243.523980642785
66,4735728500.236011,53243.523980642785
67,4735728500.236011,53243.523980642785
68,4735728500.236011,53243.523980642785
69,4735728500.236011,53243.523980642785
70,4735728500.236011,53243.523980642785
71,4735728500.236011,53243.523980642785
72,4735728500.236011,53243.523980642785
73,4735728500.236011,53243.523980642785
74,4735728500.236011,53243.523980642785
75,4735728500.236011,53243.523980642785
76,4735728500.236011,53243.523980642785
77,4735728500.236011,53243.523980642785
78,4735728500.236011,53243.523980642785
79,4735728500.236011,53243.523980642785
80,4735728500.236011,53243.523980642785
81,4735728500.236011,53243.523980642785
82,4735728500.236011,53243.523980642785
83,4735728500.236011,53243.523980642785
84,4735728500.236011,53243.523980642785
85,4735728500.236011,53243.523980642785
86,4735728500.236011,53243.523980642785
87,4735728500.236011,53243.523980642785
88,4735728500.236011,53243.523980642785
89,4735728500.236011,53243.523980642785
90,4735728500.236011,53243.523980642785
91,4735728500.236011,53243.523980642785
92,4735728500.236011,53243.523980642785
93,4735728500.236011,53243.523980642785
94,4735728500.236011,53243.523980642785
95,4735728500.236011,53243.523980642785
96,4735728500.236011,53243.523980642785
97,4735728500.236011,53243.523980642785
98,4735728500.236011,53243.523980642785
99,4735728500.236011,53243.523980642785
100,4735728500.236011,53243.523980642785
