epoch,mse_lasso,mse_ridge,mae_lasso,mae_ridge
1,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
2,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
3,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
4,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
5,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
6,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
7,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
8,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
9,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
10,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
11,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
12,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
13,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
14,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
15,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
16,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
17,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
18,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
19,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
20,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
21,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
22,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
23,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
24,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
25,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
26,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
27,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
28,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
29,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
30,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
31,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
32,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
33,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
34,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
35,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
36,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
37,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
38,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
39,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
40,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
41,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
42,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
43,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
44,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
45,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
46,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
47,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
48,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
49,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
50,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
51,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
52,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
53,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
54,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
55,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
56,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
57,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
58,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
59,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
60,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
61,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
62,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
63,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
64,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
65,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
66,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
67,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
68,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
69,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
70,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
71,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
72,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
73,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
