,feature,weight,original_feature
0,Feature 1,22036.52403161541,AGE
1,Feature 2,20281.904080143784,UHRSWORKT
2,Feature 3,26732.223782394474,WKSWORK1
3,Feature 4,61358.336927611344,UHRSWORKLY
4,Feature 5,-28263.49683883891,RELATE_101
5,Feature 6,-33263.789511606396,RELATE_201
6,Feature 7,-23997.781657543317,RELATE_202
7,Feature 8,-23845.202521346695,RELATE_203
8,Feature 9,-35636.43261224397,RELATE_301
9,Feature 10,-39804.110502871874,RELATE_501
10,Feature 11,-36137.15766877163,RELATE_701
11,Feature 12,-33327.946624929704,RELATE_901
12,Feature 13,-36310.80680495783,RELATE_1001
13,Feature 14,-34360.475174570005,RELATE_1114
14,Feature 15,-32798.27851005687,RELATE_1115
15,Feature 16,-27538.07878583764,RELATE_1116
16,Feature 17,-25367.40302558672,RELATE_1117
17,Feature 18,-33412.634717686175,RELATE_1241
18,Feature 19,-27595.161136394112,RELATE_1242
19,Feature 20,-32803.94347859515,RELATE_1260
20,Feature 21,2011.0023650848088,RACE_100
21,Feature 22,-3833.4933567008793,RACE_200
22,Feature 23,4584.8533619518785,RACE_651
23,Feature 24,2036.0780239101143,MARST_1
24,Feature 25,-4651.978430582347,MARST_2
25,Feature 26,-7368.322582932742,MARST_3
26,Feature 27,-6154.372139557615,MARST_4
27,Feature 28,-5190.92680091707,MARST_5
28,Feature 29,-5758.996539551645,MARST_6
29,Feature 30,-6499.753779494032,VETSTAT_1
30,Feature 31,7026.815371729662,FAMREL_0
31,Feature 32,6209.760282583345,FAMREL_1
32,Feature 33,3320.365920261088,FAMREL_2
33,Feature 34,10461.834576742556,FAMREL_3
34,Feature 35,9565.076739098966,FAMREL_4
35,Feature 36,1201.5379419961337,BPL_9900
36,Feature 37,-2886.502553934169,BPL_20000
37,Feature 38,-3837.8635033921737,BPL_51500
38,Feature 39,11146.298586572682,BPL_52100
39,Feature 40,-101.45960273193838,CITIZEN_1
40,Feature 41,-4385.036348798421,CITIZEN_2
41,Feature 42,314.66265605820405,CITIZEN_3
42,Feature 43,-1702.0694155148394,CITIZEN_4
43,Feature 44,-5902.281765607305,CITIZEN_5
44,Feature 45,-1214.9600906320159,EMPSTAT_10
45,Feature 46,9756.546531087695,OCC_430
46,Feature 47,-7029.298119970642,OCC_2310
47,Feature 48,5049.222277900713,OCC_3255
48,Feature 49,-3707.38981193756,OCC_4700
49,Feature 50,-4861.037146666384,OCC_4720
50,Feature 51,-3282.937623376314,OCC_4760
51,Feature 52,-3706.832472770241,OCC_9130
52,Feature 53,4104.70518202428,IND_770
53,Feature 54,23726.256059852836,IND_7380
54,Feature 55,-14192.653147385388,IND_7860
55,Feature 56,-8426.01441666712,IND_7870
56,Feature 57,-4643.411560258691,IND_8190
57,Feature 58,2879.514519182747,IND_8191
58,Feature 59,-5773.116736460091,IND_8680
59,Feature 60,6453.543077681149,IND_9470
60,Feature 61,-8182.556752155947,CLASSWKR_13
61,Feature 62,8228.948551763558,CLASSWKR_14
62,Feature 63,2720.0257773485405,CLASSWKR_21
63,Feature 64,10901.185232491902,CLASSWKR_25
64,Feature 65,-3445.792877927293,CLASSWKR_27
65,Feature 66,-1005.1060547927048,CLASSWKR_28
66,Feature 67,-12582.010709119175,CLASSWKR_29
67,Feature 68,-19353.535977935524,EDUC_2
68,Feature 69,-20764.059281060963,EDUC_10
69,Feature 70,-20458.249149660354,EDUC_20
70,Feature 71,-18926.104117865594,EDUC_30
71,Feature 72,-18880.18740242822,EDUC_40
72,Feature 73,-17035.700434917107,EDUC_50
73,Feature 74,-16751.42179568492,EDUC_60
74,Feature 75,-15473.599544044997,EDUC_71
75,Feature 76,-13045.282048156156,EDUC_73
76,Feature 77,-8312.64695927503,EDUC_81
77,Feature 78,-7632.099781043768,EDUC_91
78,Feature 79,-6578.57959037283,EDUC_92
79,Feature 80,11677.523788438477,EDUC_111
80,Feature 81,26313.633103300122,EDUC_123
81,Feature 82,47668.446489568756,EDUC_124
82,Feature 83,45370.53761171722,EDUC_125
83,Feature 84,21027.650181630535,SCHLCOLL_1
84,Feature 85,6672.792625808816,SCHLCOLL_2
85,Feature 86,4968.01323141441,SCHLCOLL_3
86,Feature 87,-415.5006989006687,SCHLCOLL_4
87,Feature 88,-649.4001661277897,SCHLCOLL_5
88,Feature 89,1949.9770959985706,DIFFANY_1
