,feature,weight,original_feature
0,Feature 1,22028.649155426174,AGE
1,Feature 2,20356.142334741897,UHRSWORKT
2,Feature 3,26730.434017682906,WKSWORK1
3,Feature 4,61227.30718140287,UHRSWORKLY
4,Feature 5,3331.4785292079023,RELATE_101
5,Feature 6,-1579.423302364042,RELATE_201
6,Feature 7,7686.206216630919,RELATE_202
7,Feature 8,7734.620763224276,RELATE_203
8,Feature 9,-4040.3576138502726,RELATE_301
9,Feature 10,-8137.819732221684,RELATE_501
10,Feature 11,-4431.79879114471,RELATE_701
11,Feature 12,-1611.200264358787,RELATE_901
12,Feature 13,-4608.609013256508,RELATE_1001
13,Feature 14,-2778.9319868059893,RELATE_1114
14,Feature 15,-1222.4666729303567,RELATE_1115
15,Feature 16,4033.484034050043,RELATE_1116
16,Feature 17,6259.95999570025,RELATE_1117
17,Feature 18,-1861.7979374304475,RELATE_1241
18,Feature 19,2462.5521655926123,RELATE_1242
19,Feature 20,-1235.8963900205345,RELATE_1260
20,Feature 21,2018.0472856723202,RACE_100
21,Feature 22,-3828.0334690637515,RACE_200
22,Feature 23,4598.598926558186,RACE_651
23,Feature 24,6553.890202420895,MARST_1
24,Feature 25,-137.03474633592006,MARST_2
25,Feature 26,-2854.2856047234714,MARST_3
26,Feature 27,-1639.8713525339294,MARST_4
27,Feature 28,-675.2180834084942,MARST_5
28,Feature 29,-1247.4804145966004,MARST_6
29,Feature 30,-6497.451715793726,VETSTAT_1
30,Feature 31,-237.4841578925954,FAMREL_0
31,Feature 32,-1069.218016805063,FAMREL_1
32,Feature 33,-4045.8325844907167,FAMREL_2
33,Feature 34,3178.721983711728,FAMREL_3
34,Feature 35,2173.8127754511697,FAMREL_4
35,Feature 36,1884.5792592860691,BPL_9900
36,Feature 37,-2902.975826556096,BPL_20000
37,Feature 38,-3825.017191074635,BPL_51500
38,Feature 39,11133.237669049753,BPL_52100
39,Feature 40,1711.6407158806392,CITIZEN_1
40,Feature 41,-1893.4599139597783,CITIZEN_2
41,Feature 42,2808.410387386314,CITIZEN_3
42,Feature 43,790.4882957463471,CITIZEN_4
43,Feature 44,-3417.079485073281,CITIZEN_5
44,Feature 45,-1218.3931915877513,EMPSTAT_10
45,Feature 46,9749.918691440444,OCC_430
46,Feature 47,-7028.233651222185,OCC_2310
47,Feature 48,5040.696121959788,OCC_3255
48,Feature 49,-3703.0458571001795,OCC_4700
49,Feature 50,-4863.803871390576,OCC_4720
50,Feature 51,-3287.400554507225,OCC_4760
51,Feature 52,-3708.67189061073,OCC_9130
52,Feature 53,4094.8311040015096,IND_770
53,Feature 54,23714.799981555847,IND_7380
54,Feature 55,-14182.438213810392,IND_7860
55,Feature 56,-8402.49268039451,IND_7870
56,Feature 57,-4634.004781611976,IND_8190
57,Feature 58,2889.422169175426,IND_8191
58,Feature 59,-5780.6959088942795,IND_8680
59,Feature 60,6452.337150310102,IND_9470
60,Feature 61,-7782.183634775632,CLASSWKR_13
61,Feature 62,8628.615180989638,CLASSWKR_14
62,Feature 63,3116.5279463228426,CLASSWKR_21
63,Feature 64,11296.491685300747,CLASSWKR_25
64,Feature 65,-3052.667784894138,CLASSWKR_27
65,Feature 66,-609.8101202838053,CLASSWKR_28
66,Feature 67,-11596.973272611778,CLASSWKR_29
67,Feature 68,-15788.428218253624,EDUC_2
68,Feature 69,-17451.352119289957,EDUC_10
69,Feature 70,-17174.037765540328,EDUC_20
70,Feature 71,-15655.491559727794,EDUC_30
71,Feature 72,-15594.560464817621,EDUC_40
72,Feature 73,-13766.313601483684,EDUC_50
73,Feature 74,-13485.776899307895,EDUC_60
74,Feature 75,-12220.070448976157,EDUC_71
75,Feature 76,-9814.262097927583,EDUC_73
76,Feature 77,-5084.461400636173,EDUC_81
77,Feature 78,-4391.014026678064,EDUC_91
78,Feature 79,-3354.8248913512,EDUC_92
79,Feature 80,14902.467222327838,EDUC_111
80,Feature 81,29531.527312928054,EDUC_123
81,Feature 82,50816.02414376731,EDUC_124
82,Feature 83,48530.57481508467,EDUC_125
83,Feature 84,14646.477048013718,SCHLCOLL_1
84,Feature 85,395.8624697638596,SCHLCOLL_2
85,Feature 86,-1348.9421734959865,SCHLCOLL_3
86,Feature 87,-6730.3432415509915,SCHLCOLL_4
87,Feature 88,-6963.054102645969,SCHLCOLL_5
88,Feature 89,1953.388588251683,DIFFANY_1
