,feature,weight,original_feature
0,Feature 1,22006.338134900827,AGE
1,Feature 2,15726.366828659011,UHRSWORKT
2,Feature 3,26443.523961446786,WKSWORK1
3,Feature 4,56385.356514972606,UHRSWORKLY
4,Feature 5,-23931.431050383406,RELATE_101
5,Feature 6,-25851.652390959654,RELATE_201
6,Feature 7,-16711.84858777572,RELATE_202
7,Feature 8,-16503.96689125109,RELATE_203
8,Feature 9,-30121.472212151202,RELATE_301
9,Feature 10,-32519.716638524595,RELATE_501
10,Feature 11,-31131.53289409927,RELATE_701
11,Feature 12,-28866.066830547355,RELATE_901
12,Feature 13,-30926.266411113906,RELATE_1001
13,Feature 14,-29060.341269809716,RELATE_1114
14,Feature 15,-28730.323746902322,RELATE_1115
15,Feature 16,-21874.28695231045,RELATE_1116
16,Feature 17,-20405.269664253243,RELATE_1117
17,Feature 18,-29258.757615644587,RELATE_1241
18,Feature 19,-24191.259429907805,RELATE_1242
19,Feature 20,-27900.851819893258,RELATE_1260
20,Feature 21,11761.03669030813,SEX_1
21,Feature 22,1783.189697880975,RACE_100
22,Feature 23,-3537.31839676715,RACE_200
23,Feature 24,4332.772252106868,RACE_651
24,Feature 25,-5085.843039735642,MARST_1
25,Feature 26,-9134.530765532101,MARST_2
26,Feature 27,-10855.309268117833,MARST_3
27,Feature 28,-9707.735506649422,MARST_4
28,Feature 29,-7595.703680780881,MARST_5
29,Feature 30,-10338.597404936187,MARST_6
30,Feature 31,-2856.618978327019,VETSTAT_1
31,Feature 32,2370.4793809081743,FAMREL_0
32,Feature 33,4162.224268634463,FAMREL_1
33,Feature 34,-85.2185647225701,FAMREL_2
34,Feature 35,4051.3081617795515,FAMREL_3
35,Feature 36,4174.330278813275,FAMREL_4
36,Feature 37,1135.2353694352978,BPL_9900
37,Feature 38,-3082.693981501289,BPL_20000
38,Feature 39,-3443.498373933722,BPL_51500
39,Feature 40,10340.67299150095,BPL_52100
40,Feature 41,2.2717786204118675,CITIZEN_1
41,Feature 42,-4344.634288391398,CITIZEN_2
42,Feature 43,280.79221179126813,CITIZEN_3
43,Feature 44,-1691.9319008335035,CITIZEN_4
44,Feature 45,-6392.2005458906015,CITIZEN_5
45,Feature 46,-1813.6907377297173,EMPSTAT_10
46,Feature 47,9338.788655531172,OCC_430
47,Feature 48,-6252.194105826444,OCC_2310
48,Feature 49,7290.956383310419,OCC_3255
49,Feature 50,-3442.695933790004,OCC_4700
50,Feature 51,-2760.927480891106,OCC_4720
51,Feature 52,-3490.9139703969972,OCC_4760
52,Feature 53,-7385.388450869356,OCC_9130
53,Feature 54,363.3941504112841,IND_770
54,Feature 55,21711.780762206574,IND_7380
55,Feature 56,-12069.302384546025,IND_7860
56,Feature 57,-8306.711559377305,IND_7870
57,Feature 58,-2537.0590531081148,IND_8190
58,Feature 59,5072.752857887686,IND_8191
59,Feature 60,-5530.681650306065,IND_8680
60,Feature 61,5120.0444756684365,IND_9470
61,Feature 62,-7700.1967568645405,CLASSWKR_13
62,Feature 63,8086.9391735997215,CLASSWKR_14
63,Feature 64,3338.7421146933502,CLASSWKR_21
64,Feature 65,11606.507760194216,CLASSWKR_25
65,Feature 66,-2274.3790839507215,CLASSWKR_27
66,Feature 67,-211.59224468543962,CLASSWKR_28
67,Feature 68,-10026.692505018376,CLASSWKR_29
68,Feature 69,-20206.90949373024,EDUC_2
69,Feature 70,-22004.27295691891,EDUC_10
70,Feature 71,-21369.961156129255,EDUC_20
71,Feature 72,-19836.52134853161,EDUC_30
72,Feature 73,-19732.753052757023,EDUC_40
73,Feature 74,-18201.112686325683,EDUC_50
74,Feature 75,-17854.002664024963,EDUC_60
75,Feature 76,-16491.323119159464,EDUC_71
76,Feature 77,-13623.160877074379,EDUC_73
77,Feature 78,-8243.801878669101,EDUC_81
78,Feature 79,-7569.301472305397,EDUC_91
79,Feature 80,-5877.30350795483,EDUC_92
80,Feature 81,12038.198835231688,EDUC_111
81,Feature 82,27042.28122706889,EDUC_123
82,Feature 83,48224.02187065571,EDUC_124
83,Feature 84,45613.71901779117,EDUC_125
84,Feature 85,20247.286915177006,SCHLCOLL_1
85,Feature 86,6977.7755972868035,SCHLCOLL_2
86,Feature 87,4565.165970694484,SCHLCOLL_3
87,Feature 88,31.664996482539625,SCHLCOLL_4
88,Feature 89,-652.6266338153188,SCHLCOLL_5
89,Feature 90,2085.710826660905,DIFFANY_1
