epoch,mse_lasso,mse_ridge,mae_lasso,mae_ridge
1,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
2,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
3,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
4,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
5,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
6,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
7,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
8,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
9,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
10,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
11,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
12,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
13,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
14,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
15,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
16,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
17,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
18,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
19,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
20,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
21,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
22,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
23,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
24,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
25,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
26,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
27,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
28,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
29,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
30,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
31,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
32,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
33,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
34,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
35,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
36,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
37,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
38,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
39,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
40,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
41,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
42,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
43,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
44,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
45,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
46,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
47,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
48,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
49,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
50,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
51,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
52,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
53,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
54,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
55,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
